first_name,second_name,now_cost,total_points,form,minutes,team,element_type
Sam,Morsy,4.9,32,4.0,983,10,3
Jack,Taylor,4.8,5,0.3,153,10,3
Axel,Tuanzebe,4.0,14,1.0,692,10,2
Christian,Walton,4.4,2,0.0,90,10,1
Luke,Woolfenden,4.0,4,0.0,377,10,2
Kalvin,Phillips,4.9,11,-0.3,536,10,3
Arijanet,Muric,4.4,32,2.7,990,10,1
Conor,Townsend,4.0,1,0.0,1,10,2
Sam,Szmodics,5.8,36,4.7,601,10,3
Jens,Cajuste,4.5,9,1.3,333,10,3
Dara,O'Shea,4.0,16,2.0,782,10,2
Jack,Clarke,5.5,15,1.0,378,10,3
Chiedozie,Ogbene,4.9,7,0.0,237,10,3
Facundo,Buonanotte,5.0,38,0.7,729,11,3
Jordan,Ayew,5.2,31,5.3,531,11,3
Odsonne,Edouard,5.2,7,0.3,141,11,4
Boubakary,Soumaré,4.4,5,1.3,228,11,3
Hamza,Choudhury,4.4,1,0.0,14,11,3
Conor,Coady,4.0,0,0.0,7,11,2
Patson,Daka,4.8,1,0.3,11,11,4
Bobby,De Cordova-Reid,5.2,12,1.3,170,11,3
Wout,Faes,4.1,23,1.0,1080,11,2
Mads,Hermansen,4.5,30,1.7,1080,11,1
James,Justin,4.6,33,0.7,982,11,2
Victor,Kristiansen,4.5,14,0.7,947,11,2
Stephy,Mavididi,5.3,30,0.7,627,11,3
Kasey,McAteer,4.7,7,1.3,106,11,3
Wilfred,Ndidi,5.0,32,1.7,985,11,3
Caleb,Okoli,4.0,14,0.3,720,11,2
Ricardo,Barbosa Pereira,4.2,2,0.7,146,11,2
Jamie,Vardy,5.6,45,2.3,921,11,4
Jannik,Vestergaard,4.0,5,1.0,360,11,2
Harry,Winks,4.5,23,1.7,865,11,3
Oliver,Skipp,4.8,10,0.3,480,11,3
Abdul,Fatawu,5.3,26,1.3,576,11,3
Bilal,El Khannouss,4.9,10,1.3,275,11,3
Alisson,Ramses Becker,5.4,35,0.0,528,12,1
Trent,Alexander-Arnold,6.9,47,1.0,866,12,2
Conor,Bradley,4.7,11,2.3,231,12,2
Darwin,Núñez Ribeiro,7.1,25,3.7,512,12,4
Diogo,Teixeira da Silva,7.2,35,0.0,492,12,3
Harvey,Elliott,5.2,1,0.0,7,12,3
Endo,Wataru,4.7,6,1.0,20,12,3
Cody,Gakpo,7.1,23,3.7,475,12,4
Joe,Gomez,4.8,3,0.3,55,12,2
Ryan,Gravenberch,5.0,32,3.3,1080,12,3
Curtis,Jones,5.3,30,3.0,468,12,3
Caoimhin,Kelleher,4.5,28,5.3,540,12,1
Ibrahima,Konaté,5.4,46,2.3,974,12,2
Luis,Díaz,7.6,65,1.7,674,12,3
Mohamed,Salah,13.1,120,12.0,1054,12,3
Alexis,Mac Allister,6.2,21,1.7,804,12,3
